timestamp, pose_x, pose_y, velocity_x, velocity_y, angle
0,-11.9667,0,1,0,0
0.033333,-11.9333,0,1,0,0
0.066666,-11.9,0,1,0,0
0.1,-11.8667,0,1,0,0
0.133333,-11.8333,0,1,0,0
0.166666,-11.8,0,1,0,0
0.2,-11.7667,0,1,0,0
0.233333,-11.7333,0,1,0,0
0.266666,-11.7,0,1,0,0
0.3,-11.6667,0,1,0,0
0.333333,-11.6333,0,1,0,0
0.366666,-11.6,0,1,0,0
0.4,-11.5667,0,1,0,0
0.433333,-11.5333,0,1,0,0
0.466666,-11.5,0,1,0,0
0.5,-11.4667,0,1.06652,0.017777,0.0166667
0.533333,-11.4311,0.000592565,1.13266,0.0390293,0.0344444
0.566666,-11.3934,0.00189354,1.19829,0.0639697,0.0533333
0.6,-11.3534,0.00402587,1.26326,0.0928057,0.0733333
0.633333,-11.3113,0.00711939,1.32739,0.125739,0.0944445
0.666666,-11.2671,0.0113107,1.39048,0.162963,0.116667
0.7,-11.2207,0.0167428,1.45232,0.204663,0.14
0.733333,-11.1723,0.0235649,1.51265,0.251013,0.164444
0.766666,-11.1219,0.031932,1.57121,0.302174,0.19
0.8,-11.0695,0.0420045,1.6277,0.358293,0.216667
0.833333,-11.0153,0.0539476,1.68181,0.419497,0.244445
0.866666,-10.9592,0.0679308,1.73318,0.485897,0.273333
0.9,-10.9014,0.0841274,1.78145,0.557579,0.303333
0.933333,-10.842,0.102713,1.82621,0.634606,0.334445
0.966666,-10.7812,0.123867,1.86706,0.717012,0.366667
1,-10.7189,0.147767,1.94485,0.746887,0.366667
1.03333,-10.6541,0.172664,2.02264,0.776763,0.366667
1.06667,-10.5867,0.198556,2.10044,0.806638,0.366667
1.1,-10.5167,0.225444,2.17823,0.836514,0.366667
1.13333,-10.4441,0.253327,2.25603,0.866389,0.366667
1.16667,-10.3689,0.282207,2.33382,0.896264,0.366667
1.2,-10.2911,0.312082,2.41161,0.92614,0.366667
1.23333,-10.2107,0.342954,2.48941,0.956015,0.366667
1.26667,-10.1277,0.374821,2.5672,0.985891,0.366667
1.3,-10.0421,0.407684,2.64499,1.01577,0.366667
1.33333,-9.95395,0.441543,2.72279,1.04564,0.366667
1.36667,-9.86319,0.476398,2.80058,1.07552,0.366667
1.4,-9.76984,0.512248,2.87838,1.10539,0.366667
1.43333,-9.67389,0.549095,2.95617,1.13527,0.366667
1.46667,-9.57536,0.586937,3.03396,1.16514,0.366667
1.5,-9.47422,0.625775,3.11176,1.19502,0.366667
1.53333,-9.3705,0.665609,3.18955,1.22489,0.366667
1.56667,-9.26418,0.706439,3.26735,1.25477,0.366667
1.6,-9.15527,0.748264,3.34514,1.28465,0.366667
1.63333,-9.04376,0.791086,3.42293,1.31452,0.366667
1.66667,-8.92967,0.834903,3.50073,1.3444,0.366667
1.7,-8.81298,0.879717,3.57852,1.37427,0.366667
1.73333,-8.69369,0.925526,3.65632,1.40415,0.366667
1.76667,-8.57181,0.972331,3.73411,1.43402,0.366667
1.8,-8.44734,1.02013,3.8119,1.4639,0.366667
1.83333,-8.32028,1.06893,3.8897,1.49377,0.366667
1.86667,-8.19062,1.11872,3.96749,1.52365,0.366667
1.9,-8.05837,1.16951,4.04529,1.55352,0.366667
1.93333,-7.92353,1.22129,4.12308,1.5834,0.366667
1.96667,-7.7861,1.27407,4.20087,1.61328,0.366667
2,-7.64607,1.32785,4.27867,1.64315,0.366667
2.03333,-7.50344,1.38262,4.35646,1.67303,0.366667
2.06667,-7.35823,1.43839,4.43426,1.7029,0.366667
2.1,-7.21042,1.49515,4.51205,1.73278,0.366667
2.13333,-7.06002,1.55291,4.58984,1.76265,0.366667
2.16667,-6.90702,1.61167,4.66764,1.79253,0.366667
2.2,-6.75144,1.67142,4.74543,1.8224,0.366667
2.23333,-6.59325,1.73216,4.82323,1.85228,0.366667
2.26667,-6.43248,1.79391,4.90102,1.88216,0.366667
2.3,-6.26911,1.85664,4.97881,1.91203,0.366667
2.33333,-6.10315,1.92038,5.05661,1.94191,0.366667
2.36667,-5.9346,1.98511,5.1344,1.97178,0.366667
2.4,-5.76345,2.05084,5.2122,2.00166,0.366667
2.43333,-5.58971,2.11756,5.28999,2.03153,0.366667
2.46667,-5.41338,2.18528,5.36778,2.06141,0.366667
2.5,-5.23445,2.25399,5.44558,2.09128,0.366667
2.53333,-5.05293,2.3237,5.52337,2.12116,0.366667
2.56667,-4.86882,2.3944,5.60117,2.15104,0.366667
2.6,-4.68212,2.4661,5.67896,2.18091,0.366667
2.63333,-4.49282,2.5388,5.75676,2.21079,0.366667
2.66667,-4.30092,2.61249,5.83455,2.24066,0.366667
2.7,-4.10644,2.68718,5.91234,2.27054,0.366667
2.73333,-3.90936,2.76287,5.99014,2.30041,0.366667
2.76667,-3.70969,2.83955,6.06793,2.33029,0.366667
2.8,-3.50743,2.91722,6.14573,2.36016,0.366667
2.83333,-3.30257,2.9959,6.22352,2.39004,0.366667
2.86667,-3.09512,3.07556,6.30131,2.41992,0.366667
2.9,-2.88507,3.15623,6.37911,2.44979,0.366667
2.93333,-2.67244,3.23789,6.4569,2.47967,0.366667
2.96667,-2.45721,3.32054,6.5347,2.50954,0.366667
3,-2.23938,3.4042,6.61249,2.53942,0.366667
3.03333,-2.01897,3.48884,6.69028,2.56929,0.366667
3.06667,-1.79596,3.57449,6.76808,2.59917,0.366667
3.1,-1.57036,3.66112,6.84587,2.62904,0.366667
3.13333,-1.34216,3.74876,6.92367,2.65892,0.366667
3.16667,-1.11137,3.83739,7.00146,2.6888,0.366667
3.2,-0.877988,3.92702,7.28206,1.79491,0.241667
3.23333,-0.635253,3.98685,7.44902,0.873016,0.116667
3.26667,-0.386952,4.01595,7.49974,-0.0625006,-0.0083335
3.3,-0.136961,4.01386,7.56641,-0.0630562,-0.0083335
3.33333,0.115253,4.01176,7.63307,-0.0636117,-0.0083335
3.36667,0.369689,4.00964,7.69974,-0.0641673,-0.0083335
3.4,0.626347,4.0075,7.7664,-0.0647228,-0.0083335
3.43333,0.885227,4.00535,7.83307,-0.0652784,-0.0083335
3.46667,1.14633,4.00317,7.89973,-0.065834,-0.0083335
3.5,1.40965,4.00098,7.96639,-0.0663895,-0.0083335
3.53333,1.6752,3.99876,8.03306,-0.0669451,-0.0083335
3.56667,1.94297,3.99653,8.09972,-0.0675006,-0.0083335
3.6,2.21296,3.99428,8.16639,-0.0680562,-0.0083335
3.63333,2.48517,3.99201,8.23305,-0.0686118,-0.0083335
3.66667,2.75961,3.98973,8.29972,-0.0691673,-0.0083335
3.7,3.03626,3.98742,8.36638,-0.0697229,-0.0083335
3.73333,3.31514,3.9851,8.43305,-0.0702784,-0.0083335
3.76667,3.59625,3.98275,8.49971,-0.070834,-0.0083335
3.8,3.87957,3.98039,8.56637,-0.0713896,-0.0083335
3.83333,4.16511,3.97801,8.63304,-0.0719451,-0.0083335
3.86667,4.45288,3.97561,8.6997,-0.0725007,-0.0083335
3.9,4.74287,3.9732,8.76637,-0.0730562,-0.0083335
3.93333,5.03509,3.97076,8.83303,-0.0736118,-0.0083335
3.96667,5.32952,3.96831,8.8997,-0.0741674,-0.0083335
4,5.62618,3.96584,8.96636,-0.0747229,-0.0083335
4.03333,5.92505,3.96335,9.03302,-0.0752785,-0.0083335
4.06667,6.22616,3.96084,9.09969,-0.075834,-0.0083335
4.1,6.52948,3.95831,9.16635,-0.0763896,-0.0083335
4.13333,6.83502,3.95576,9.23302,-0.0769452,-0.0083335
4.16667,7.14279,3.9532,9.29968,-0.0775007,-0.0083335
4.2,7.45278,3.95061,9.36635,-0.0780563,-0.0083335
4.23333,7.76499,3.94801,9.43301,-0.0786118,-0.0083335
4.26667,8.07943,3.94539,9.49967,-0.0791674,-0.0083335
4.3,8.39608,3.94275,9.56634,-0.079723,-0.0083335
4.33333,8.71496,3.94009,9.633,-0.0802785,-0.0083335
4.36667,9.03606,3.93742,9.69967,-0.0808341,-0.0083335
4.4,9.35938,3.93472,9.76633,-0.0813896,-0.0083335
4.43333,9.68493,3.93201,9.833,-0.0819452,-0.0083335
4.46667,10.0127,3.92928,9.89966,-0.0825008,-0.0083335
4.5,10.3427,3.92653,9.89966,-0.0825008,-0.0083335
4.53333,10.6727,3.92378,9.89966,-0.0825008,-0.0083335
4.56667,11.0027,3.92103,9.89966,-0.0825008,-0.0083335
4.6,11.3326,3.91828,9.89966,-0.0825008,-0.0083335
4.63333,11.6626,3.91553,9.89966,-0.0825008,-0.0083335
4.66667,11.9926,3.91278,9.89966,-0.0825008,-0.0083335
4.7,12.3226,3.91003,9.89966,-0.0825008,-0.0083335
4.73333,12.6526,3.90728,9.89966,-0.0825008,-0.0083335
4.76667,12.9826,3.90453,9.89966,-0.0825008,-0.0083335
4.8,13.3126,3.90178,9.89966,-0.0825008,-0.0083335
4.83333,13.6426,3.89903,9.89966,-0.0825008,-0.0083335
4.86667,13.9726,3.89628,9.89966,-0.0825008,-0.0083335
4.9,14.3025,3.89353,9.89966,-0.0825008,-0.0083335
4.93333,14.6325,3.89078,9.89966,-0.0825008,-0.0083335
4.96667,14.9625,3.88803,9.89966,-0.0825008,-0.0083335
5,15.2925,3.88528,9.89966,-0.0825008,-0.0083335
5.03333,15.6225,3.88253,9.89966,-0.0825008,-0.0083335
5.06667,15.9525,3.87978,9.89966,-0.0825008,-0.0083335
5.1,16.2825,3.87703,9.89966,-0.0825008,-0.0083335
5.13333,16.6125,3.87428,9.89966,-0.0825008,-0.0083335
5.16667,16.9425,3.87153,9.89966,-0.0825008,-0.0083335
5.2,17.2724,3.86878,9.89966,-0.0825008,-0.0083335
5.23333,17.6024,3.86603,9.89966,-0.0825008,-0.0083335
5.26667,17.9324,3.86328,9.89966,-0.0825008,-0.0083335
5.3,18.2624,3.86053,9.89966,-0.0825008,-0.0083335
5.33333,18.5924,3.85778,9.89966,-0.0825008,-0.0083335
5.36667,18.9224,3.85503,9.89966,-0.0825008,-0.0083335
5.4,19.2524,3.85228,9.89966,-0.0825008,-0.0083335
5.43333,19.5824,3.84953,9.89966,-0.0825008,-0.0083335
