timestamp, pose_x, pose_y, velocity_x, velocity_y
0,24.9448,-3.97412,0,0
0.033333,24.7982,-3.97976,-2.31437,-0.0889524
0.066666,24.5993,-3.96554,-5.75402,0.396348
0.1,24.3995,-3.97918,-5.89372,-0.0768167
0.133333,24.2059,-3.97934,-5.85829,-0.0463206
0.166666,24.0044,-3.98067,-5.92007,-0.0441856
0.2,23.7951,-3.98011,-6.01707,-0.0276668
0.233333,23.5942,-3.98038,-6.01953,-0.0231203
0.266666,23.3939,-3.98061,-6.01762,-0.01988
0.3,23.1927,-3.98232,-6.02087,-0.0254887
0.333333,22.9928,-3.98203,-6.01697,-0.0199608
0.366666,22.7928,-3.9808,-6.01448,-0.0115838
0.4,22.5921,-3.98177,-6.01529,-0.0139741
0.433333,22.3917,-3.98063,-6.01495,-0.0077697
0.466666,22.1913,-3.97835,-6.01441,0.00151014
0.5,21.9898,-3.97614,-6.01811,0.00905337
0.533333,21.7909,-3.97229,-6.01222,0.0209976
0.566666,21.6071,-3.95606,-5.95776,0.071909
0.6,21.4188,-3.94529,-5.92482,0.0987985
0.633333,21.2116,-3.95019,-5.95553,0.0728982
0.666666,21.0073,-3.95518,-5.97373,0.0496577
0.7,20.8167,-3.94961,-5.94703,0.0618441
0.733333,20.6247,-3.94827,-5.92771,0.0595817
0.766666,20.4155,-3.95517,-5.96378,0.032014
0.8,20.2083,-3.95842,-5.98981,0.018629
0.833333,20.0121,-3.95745,-5.97898,0.0197074
0.866666,19.816,-3.95512,-5.96928,0.024935
0.9,19.6188,-3.95398,-5.96369,0.0258999
0.933333,19.4215,-3.95315,-5.95894,0.0257921
0.966666,19.2238,-3.9516,-5.9561,0.0279631
1,19.0246,-3.95002,-5.95797,0.0299811
1.03333,18.8243,-3.94933,-5.96357,0.0290302
1.06667,18.6254,-3.94734,-5.96376,0.0322523
1.1,18.4264,-3.94405,-5.96454,0.0392257
1.13333,18.2247,-3.94501,-5.97364,0.0320521
1.16667,18.0218,-3.94885,-5.98542,0.0165636
1.2,17.8308,-3.94977,-5.9587,0.0119018
1.23333,17.6388,-3.951,-5.93765,0.00676443
1.26667,17.433,-3.95684,-5.96254,-0.0123935
1.3,17.2378,-3.9628,-5.95131,-0.0299403
1.33333,17.0413,-3.96811,-5.94557,-0.0435576
1.36667,16.8438,-3.97206,-5.94323,-0.0514561
1.4,16.6459,-3.97444,-5.94259,-0.0535423
1.43333,16.4479,-3.97514,-5.94233,-0.050119
1.46667,16.2506,-3.97135,-5.93972,-0.0328851
1.5,16.0495,-3.97238,-5.9497,-0.0326568
1.53333,15.8476,-3.9744,-5.961,-0.0356091
1.56667,15.6408,-3.97552,-5.98671,-0.0353947
1.6,15.4443,-3.97631,-5.97704,-0.0341636
1.63333,15.2468,-3.97822,-5.97147,-0.0365928
1.66667,15.0393,-3.981,-5.99803,-0.0415333
1.7,14.8454,-3.97656,-5.97893,-0.023136
1.73333,14.6467,-3.97803,-5.97724,-0.0253451
1.76667,14.4494,-3.97832,-5.97115,-0.0235823
1.8,14.2479,-3.97895,-5.97876,-0.0230873
1.83333,14.0472,-3.97702,-5.98324,-0.0145859
1.86667,13.8476,-3.97085,-5.98391,0.00645518
1.9,13.6408,-3.97233,-6.00702,0.00108542
1.93333,13.4451,-3.97226,-5.9925,0.00118703
1.96667,13.2385,-3.97341,-6.01419,-0.00255898
2,13.0429,-3.9731,-5.99882,-0.00129202
2.03333,12.8443,-3.97684,-5.99461,-0.0129857
2.06667,12.6446,-3.97849,-5.99422,-0.0168264
2.1,12.4421,-3.98049,-6.0027,-0.0213749
2.13333,12.2392,-3.98004,-6.01169,-0.017686
2.16667,12.0339,-3.98016,-6.02716,-0.0162096
2.2,11.8281,-3.97842,-6.04244,-0.00899898
2.23333,11.6259,-3.97949,-6.04502,-0.0114587
2.26667,11.4197,-3.97729,-6.05972,-0.00329953
2.3,11.2141,-3.97078,-6.07119,0.0176049
2.33333,11.0124,-3.96109,-6.06902,0.0463739
2.36667,10.8287,-3.94445,-6.01027,0.0940239
2.4,10.6433,-3.93104,-5.96332,0.126472
2.43333,10.4525,-3.91889,-5.93812,0.151541
2.46667,10.2457,-3.92656,-5.96604,0.111356
2.5,10.0529,-3.92899,-5.94681,0.0919777
