timestamp, pose_x, pose_y, velocity_x, velocity_y, angle
0,24.8,-4,-6,-0,0
0.033333,24.6,-4,-6,-0,0
0.066666,24.4,-4,-6,-0,0
0.1,24.2,-4,-6,-0,0
0.133333,24,-4,-6,-0,0
0.166666,23.8,-4,-6,-0,0
0.2,23.6,-4,-6,-0,0
0.233333,23.4,-4,-6,-0,0
0.266666,23.2,-4,-6,-0,0
0.3,23,-4,-6,-0,0
0.333333,22.8,-4,-6,-0,0
0.366666,22.6,-4,-6,-0,0
0.4,22.4,-4,-6,-0,0
0.433333,22.2,-4,-6,-0,0
0.466666,22,-4,-6,-0,0
0.5,21.8,-4,-6,-0,0
0.533333,21.6,-4,-6,-0,0
0.566666,21.4,-4,-6,-0,0
0.6,21.2,-4,-6,-0,0
0.633333,21,-4,-6,-0,0
0.666666,20.8,-4,-6,-0,0
0.7,20.6,-4,-6,-0,0
0.733333,20.4,-4,-6,-0,0
0.766666,20.2,-4,-6,-0,0
0.8,20,-4,-6,-0,0
0.833333,19.8,-4,-6,-0,0
0.866666,19.6,-4,-6,-0,0
0.9,19.4,-4,-6,-0,0
0.933333,19.2,-4,-6,-0,0
0.966666,19,-4,-6,-0,0
1,18.8,-4,-6,-0,0
1.03333,18.6,-4,-6,-0,0
1.06667,18.4,-4,-6,-0,0
1.1,18.2,-4,-6,-0,0
1.13333,18,-4,-6,-0,0
1.16667,17.8,-4,-6,-0,0
1.2,17.6,-4,-6,-0,0
1.23333,17.4,-4,-6,-0,0
1.26667,17.2,-4,-6,-0,0
1.3,17,-4,-6,-0,0
1.33333,16.8,-4,-6,-0,0
1.36667,16.6,-4,-6,-0,0
1.4,16.4,-4,-6,-0,0
1.43333,16.2,-4,-6,-0,0
1.46667,16,-4,-6,-0,0
1.5,15.8,-4,-6,-0,0
1.53333,15.6,-4,-6,-0,0
1.56667,15.4,-4,-6,-0,0
1.6,15.2,-4,-6,-0,0
1.63333,15,-4,-6,-0,0
1.66667,14.8,-4,-6,-0,0
1.7,14.6,-4,-6,-0,0
1.73333,14.4,-4,-6,-0,0
1.76667,14.2,-4,-6,-0,0
1.8,14,-4,-6,-0,0
1.83333,13.8,-4,-6,-0,0
1.86667,13.6,-4,-6,-0,0
1.9,13.4,-4,-6,-0,0
1.93333,13.2,-4,-6,-0,0
1.96667,13,-4,-6,-0,0
2,12.8,-4,-6,-0,0
2.03333,12.6,-4,-6,-0,0
2.06667,12.4,-4,-6,-0,0
2.1,12.2,-4,-6,-0,0
2.13333,12,-4,-6,-0,0
2.16667,11.8,-4,-6,-0,0
2.2,11.6,-4,-6,-0,0
2.23333,11.4,-4,-6,-0,0
2.26667,11.2,-4,-6,-0,0
2.3,11,-4,-6,-0,0
2.33333,10.8,-4,-6,-0,0
2.36667,10.6,-4,-6,-0,0
2.4,10.4,-4,-6,-0,0
2.43333,10.2,-4,-6,-0,0
2.46667,10,-4,-6,-0,0
2.5,9.8,-4,-6,-0,0
2.53333,9.6,-4,-6,-0,0
2.56667,9.4,-4,-6,-0,0
2.6,9.2,-4,-6,-0,0
2.63333,9,-4,-6,-0,0
2.66667,8.8,-4,-6,-0,0
2.7,8.6,-4,-6,-0,0
2.73333,8.4,-4,-6,-0,0
2.76667,8.2,-4,-6,-0,0
2.8,8,-4,-6,-0,0
2.83333,7.8,-4,-6,-0,0
2.86667,7.6,-4,-6,-0,0
2.9,7.4,-4,-6,-0,0
2.93333,7.2,-4,-6,-0,0
2.96667,7,-4,-6,-0,0
3,6.8,-4,-6,-0,0
3.03333,6.6,-4,-6,-0,0
3.06667,6.4,-4,-6,-0,0
3.1,6.2,-4,-6,-0,0
3.13333,6,-4,-6,-0,0
3.16667,5.8,-4,-6,-0,0
3.2,5.6,-4,-6,-0,0
3.23333,5.4,-4,-6,-0,0
3.26667,5.2,-4,-6,-0,0
3.3,5,-4,-6,-0,0
3.33333,4.8,-4,-6,-0,0
3.36667,4.6,-4,-6,-0,0
3.4,4.4,-4,-6,-0,0
3.43333,4.2,-4,-6,-0,0
3.46667,4,-4,-6,-0,0
3.5,3.8,-4,-6,-0,0
3.53333,3.6,-4,-6,-0,0
3.56667,3.4,-4,-6,-0,0
3.6,3.2,-4,-6,-0,0
3.63333,3,-4,-6,-0,0
3.66667,2.8,-4,-6,-0,0
3.7,2.6,-4,-6,-0,0
3.73333,2.4,-4,-6,-0,0
3.76667,2.2,-4,-6,-0,0
3.8,2,-4,-6,-0,0
3.83333,1.8,-4,-6,-0,0
3.86667,1.6,-4,-6,-0,0
3.9,1.4,-4,-6,-0,0
3.93333,1.2,-4,-6,-0,0
3.96667,0.999999,-4,-6,-0,0
4,0.799999,-4,-5.9,-0,0
4.03333,0.603332,-4,-5.8,-0,0
4.06667,0.409999,-4,-5.7,-0,0
4.1,0.219999,-4,-5.6,-0,0
4.13333,0.033332,-4,-5.5,-0,0
4.16667,-0.150001,-4,-5.4,-0,0
4.2,-0.330001,-4,-5.3,-0,0
4.23333,-0.506668,-4,-5.2,-0,0
4.26667,-0.680001,-4,-5.1,-0,0
4.3,-0.850001,-4,-5,-0,0
4.33333,-1.01667,-4,-4.9,-0,0
4.36667,-1.18,-4,-4.8,-0,0
4.4,-1.34,-4,-4.7,-0,0
4.43333,-1.49667,-4,-4.6,-0,0
4.46667,-1.65,-4,-4.5,-0,0
4.5,-1.8,-4,-4.4,-0,0
4.53333,-1.94667,-4,-4.3,-0,0
4.56667,-2.09,-4,-4.2,-0,0
4.6,-2.23,-4,-4.1,-0,0
4.63333,-2.36667,-4,-4,-0,0
4.66667,-2.5,-4,-3.9,-0,0
4.7,-2.63,-4,-3.8,-0,0
4.73333,-2.75667,-4,-3.7,-0,0
4.76667,-2.88,-4,-3.6,-0,0
4.8,-3,-4,-3.5,-0,0
4.83333,-3.11667,-4,-3.4,-0,0
4.86667,-3.23,-4,-3.3,-0,0
4.9,-3.34,-4,-3.2,-0,0
4.93333,-3.44667,-4,-3.1,-0,0
4.96667,-3.55,-4,-3,-0,0
5,-3.65,-4,-2.9,-0,0
5.03333,-3.74667,-4,-2.8,-0,0
